Model,Final Train Accuracy,Best Val Accuracy,Test Accuracy,Test Loss
Custom CNN,0.8844077587127686,0.8918518424034119,0.8934911489486694,0.24770675599575043
EfficientNetB0,0.9618926644325256,0.970370352268219,0.973372757434845,0.08881263434886932
MobileNetV2,0.9536360502243042,0.9451851844787598,0.9408283829689026,0.15400633215904236
